	0	0	0	0	0	0	0
	633600	892061	950400	2476061	2476061	19.808488	19.808488
	633600	887427	950400	2471427	2471427	19.771416	19.771416
	633600	885733	950400	2469733	2469733	19.757864	19.757864
	633600	883150	950400	2467150	2467150	19.7372	19.7372
	633600	886800	950400	2470800	2470800	19.7664	19.7664
	633600	886982	950400	2470982	2470982	19.767856	19.767856
	633600	882451	950400	2466451	2466451	19.731608	19.731608
	633600	885486	950400	2469486	2469486	19.755888	19.755888
	633600	886110	950400	2470110	2470110	19.76088	19.76088
	633600	887040	950400	2471040	2471040	19.76832	19.76832
	704994	821841	950400	2477235	2472667	19.81788	19.781336
	686388	837432	950400	2474220	2468396	19.79376	19.747168
	686388	837916	950400	2474704	2466642	19.797632	19.733136
	686382	838775	950400	2475557	2466238	19.804456	19.729904
	686388	837139	950400	2473927	2467487	19.791416	19.739896
	686388	838774	950400	2475562	2469781	19.804496	19.758248
	686384	838686	950400	2475470	2466569	19.80376	19.732552
	686386	838489	950400	2475275	2464829	19.8022	19.718632
	686388	837710	950400	2474498	2466441	19.795984	19.731528
	686388	838204	950400	2474992	2468719	19.799936	19.749752
	686382	838196	950400	2474978	2466522	19.799824	19.732176
	686388	837718	950400	2474506	2470343	19.796048	19.762744
	686388	838197	950400	2474985	2467156	19.79988	19.737248
	686388	838204	950400	2474992	2468782	19.799936	19.750256
	686382	836656	950400	2473438	2471999	19.787504	19.775992
	686388	838769	950400	2475557	2466411	19.804456	19.731288
	686388	838201	950400	2474989	2469278	19.799912	19.754224
	686384	838486	950400	2475270	2470462	19.80216	19.763696
	686386	838196	950400	2474982	2467239	19.799856	19.737912
	686388	838205	950400	2474993	2473230	19.799944	19.78584
	686388	842573	1087867	2616828	2467496	20.934624	19.739968
	686382	884687	1078924	2649993	2471427	21.199944	19.771416
	686388	880746	1086552	2653686	2468455	21.229488	19.74764
	686388	882100	1098596	2667084	2469780	21.336672	19.75824
	686388	881784	1095344	2663516	2470708	21.308128	19.765664
	686382	881780	1088756	2656918	2469744	21.255344	19.757952
	686388	882746	1078916	2648050	2471114	21.1844	19.768912
	686388	880104	1087616	2654108	2470398	21.232864	19.763184
	686384	880736	1078916	2646036	2470734	21.168288	19.765872
	686386	879912	1093156	2659454	2470136	21.275632	19.761088
	686388	881970	1084280	2652638	2469747	21.221104	19.757976
	686388	879780	1074516	2640684	2471376	21.125472	19.771008
	686382	879968	1075572	2641922	2469481	21.135376	19.755848
	686388	880488	1093156	2660032	2470110	21.280256	19.76088
	686388	878470	1090944	2655802	2471038	21.246416	19.768304
	686388	879384	1081112	2646884	2471378	21.175072	19.771024
	686382	878922	1090952	2656256	2469480	21.250048	19.75584
	686388	879822	1078832	2645042	2470723	21.160336	19.765784
	686388	879100	1081112	2646600	2471402	21.1728	19.771216
	686384	879390	1084364	2650138	2471036	21.201104	19.768288
	686386	879734	1090952	2657072	2468457	21.256576	19.747656
	686388	878314	1083224	2647926	2471390	21.183408	19.77112
	686388	878690	1103064	2668142	2470412	21.345136	19.763296
	686382	880398	1086560	2653340	2470459	21.22672	19.763672
	686388	881610	1076636	2644634	2470385	21.157072	19.76308
	686388	880108	1085504	2652000	2470722	21.216	19.765776
	686388	879244	1089812	2655444	2470377	21.243552	19.763016
	686382	880714	1094310	2661406	2469435	21.291248	19.75548
	686388	880372	1082176	2648936	2471402	21.191488	19.771216
	686388	878702	1095352	2660442	2469869	21.283536	19.758952
	686384	880062	1086568	2653014	2471274	21.224112	19.770192
	686386	878224	1085412	2650022	2468187	21.200176	19.745496
	686388	878724	1076712	2641824	2471630	21.134592	19.77304
	686388	878648	1082160	2647196	2471364	21.177568	19.770912
